reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
73c5c741-9b1a-487d-874e-14730723fc45,Bayo Ojo,Pls open my box I lost it,4,0,,2024-08-07T05:13:12,
d6832124-4e37-4773-a922-5f172f0d66b4,Jerick Obra,Maganda ako,5,0,436.0.0.35.101,2024-08-07T05:13:07,436.0.0.35.101
4282582d-8ef8-4b9f-8796-199a8dcfe973,RAHUL KUMAR DUTTA,good,5,0,475.1.0.46.82,2024-08-07T05:13:07,475.1.0.46.82
b10c767e-f3a8-47b3-82e1-e50599fce99d,Eric Denaga,This is Nice app,5,0,,2024-08-07T05:12:33,
8d517472-1158-4331-8952-dc2360d38514,Hm Jahid Bin Monir,Sei,5,0,,2024-08-07T05:12:21,
20aa7a48-04d1-4311-ac02-aa7197d39c75,Shoaib Baba,Best,5,0,,2024-08-07T05:12:06,
a1a41837-b09d-45f6-9dcb-e1747b9a2fe5,Rizza Llanera,It' so nakakainis. Lahat ng account ko suspended normal account. SUSPENDED! OMG METAAAAAA!!! WALA NAMAN AKO GINAGAWA SA FB WHY SUSPENDED!!!,1,0,475.1.0.46.82,2024-08-07T05:11:26,475.1.0.46.82
97d20002-1c16-4ab3-bad0-2d07b66a6e8e,Anshu Sharma,Bad application application,5,1,475.1.0.46.82,2024-08-07T05:11:21,475.1.0.46.82
94479cab-0bfb-438a-ab85-c5aa539b16c9,Princh Princh Hussain,Nice,5,0,,2024-08-07T05:10:42,
5afae4ce-46bc-46ae-a636-d420ca1a3dc5,Yub Raj Bhattrai,Good,5,0,,2024-08-07T05:10:15,
8c487932-7ee2-4223-99eb-97e6bdd07c22,Farhan Ahammed Shakil,just wow,5,0,475.1.0.46.82,2024-08-07T05:09:59,475.1.0.46.82
719535af-744a-4f96-ac40-f62387ce813f,MD Arman,nice,5,0,474.0.0.52.74,2024-08-07T05:09:50,474.0.0.52.74
